riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs7545860-A	1E-8	(EA)	0.98	-	-	-	FAF1	"Ventricular ectopy or supraventricular ectopy (pleiotropy)"	"premature cardiac contractions,supraventricular ectopy,ventricular ectopy"	-	GCST005935	1:50875994	29618737	"Napier MD"
rs8086068-A	4E-8	(African)	0.17	-	-	-	RNU6-857P,MIR302F	"Ventricular ectopy or supraventricular ectopy (pleiotropy)"	"premature cardiac contractions,supraventricular ectopy,ventricular ectopy"	-	GCST005935	18:30783657	29618737	"Napier MD"
rs6702619-T	2E-14	-	0.47	1.28	-	[1.20-1.36]	LINC01708	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST005785	1:99580690	29511167	"Thériault S"
rs10455872-G	6E-21	-	0.081	1.54	-	[1.45-1.63]	LPA	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	6:160589086	32141789	"Thériault S"
rs7543039-T	1E-16	-	0.514	1.24	-	[1.19-1.29]	LINC01708	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	1:99584092	32141789	"Thériault S"
rs2069832-A	1E-8	-	0.428	1.16	-	[1.11-1.21]	IL6	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	7:22727814	32141789	"Thériault S"
rs12141569-C	4E-8	-	0.47	1.15	-	[1.1-1.2]	ALPL	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	1:21546509	32141789	"Thériault S"
rs114314058-C	4E-7	-	0.018	1.62	-	[1.43-1.81]	MMADHC-DT,LINC01818	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	2:150070319	32141789	"Thériault S"
rs113277183-C	9E-7	-	0.016	1.71	-	[1.5-1.92]	LINC03041	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	9:16350315	32141789	"Thériault S"
rs2150026-C	1E-6	-	0.29	1.15	-	[1.09-1.21]	PRRX1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	1:170676348	32141789	"Thériault S"
rs6715876-C	1E-6	-	0.361	1.14	-	[1.09-1.19]	ACTR2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	2:65259794	32141789	"Thériault S"
rs665770-A	1E-6	-	0.398	1.13	-	[1.08-1.18]	IPO9-AS1,NAV1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	1:201778996	32141789	"Thériault S"
rs17010961-A	1E-6	-	0.141	1.2	-	[1.13-1.27]	ARHGAP24	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	4:85801950	32141789	"Thériault S"
rs117206641-T	2E-6	-	0.108	1.22	-	[1.14-1.3]	FBRSL1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	12:132510302	32141789	"Thériault S"
rs11180610-T	2E-6	-	0.189	1.19	-	[1.12-1.26]	KRR1,RPL10P13	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	12:75646614	32141789	"Thériault S"
rs4932408-A	3E-6	-	0.013	1.85	-	[1.59-2.11]	ACAN,ISG20	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	15:88688570	32141789	"Thériault S"
rs11234705-C	3E-6	-	0.436	1.13	-	[1.08-1.18]	ME3	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	11:86587658	32141789	"Thériault S"
rs2421649-G	4E-6	-	0.498	1.13	-	[1.08-1.18]	MECOM	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	3:169479545	32141789	"Thériault S"
rs114795211-A	4E-6	-	0.027	1.48	-	[1.31-1.65]	STPG2,COX7A2P2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	4:96995385	32141789	"Thériault S"
rs12264978-T	4E-6	-	0.015	2.54	-	[2.14-2.94]	LINC02674,EMX2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	10:117724358	32141789	"Thériault S"
rs10124723-G	4E-6	-	0.429	1.13	-	[1.08-1.18]	DENND4C	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	9:19257059	32141789	"Thériault S"
rs7593336-G	4E-6	-	0.387	1.13	-	[1.08-1.18]	TEX41	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	2:145078862	32141789	"Thériault S"
rs73056108-A	5E-6	-	0.091	1.26	-	[1.16-1.36]	RNA5SP127,H3P11	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	3:31254551	32141789	"Thériault S"
rs7937669-T	5E-6	-	0.338	1.13	-	[1.08-1.18]	HNRNPKP3,LINC02740	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	11:42848251	32141789	"Thériault S"
rs112277963-C	5E-6	-	0.011	1.7	-	[1.47-1.93]	RPL15P15,LINC02151	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	11:115985595	32141789	"Thériault S"
rs7748777-A	6E-6	-	0.448	1.13	-	[1.08-1.18]	TREM2,TREML2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	6:41166068	32141789	"Thériault S"
rs12605367-T	6E-6	-	0.709	1.14	-	[1.08-1.2]	FAM210A	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	18:13686335	32141789	"Thériault S"
rs170828-G	7E-6	-	0.118	1.19	-	[1.12-1.26]	TACSTD2,MYSM1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	1:58635462	32141789	"Thériault S"
rs12465180-C	9E-6	-	0.121	1.19	-	[1.12-1.26]	SNTG2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST009870	2:1322371	32141789	"Thériault S"
rs2077522-C	3E-10	-	NR	-	-	-	LINC01364,RNA5SP52	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	1:87452063	38494474	"Thériault S"
rs6702619-G	4E-40	-	NR	-	-	-	LINC01708	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	1:99580690	38494474	"Thériault S"
rs1016819-G	1E-14	-	NR	-	-	-	PRRX1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	1:170676633	38494474	"Thériault S"
rs682112-A	3E-14	-	NR	-	-	-	NAV1,IPO9-AS1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	1:201777640	38494474	"Thériault S"
rs771264-C	5E-8	-	NR	-	-	-	RNF144A	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	2:6988993	38494474	"Thériault S"
rs62139061-C	4E-10	-	NR	-	-	-	ACTR2,SPRED2	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	2:65271671	38494474	"Thériault S"
rs72854462-A	2E-22	-	NR	-	-	-	TEX41	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	2:144962572	38494474	"Thériault S"
rs111825950-T	1E-10	-	NR	-	-	-	ARHGEF26-AS1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	3:154030503	38494474	"Thériault S"
rs11330858-A	1E-9	-	NR	-	-	-	MECOM	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	3:169484791	38494474	"Thériault S"
rs1706003-G	3E-11	-	NR	-	-	-	RPL23AP93,TMEM44-AS1	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	3:194579238	38494474	"Thériault S"
rs3103933-A	6E-9	-	NR	-	-	-	MUC4	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	3:195758569	38494474	"Thériault S"
rs147558377-G	2E-8	-	NR	-	-	-	PDGFRA	"Calcific aortic valve stenosis"	"aortic stenosis,aortic valve calcification"	-	GCST90310293	4:54247456	38494474	"Thériault S"
