riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs660240-T	2E-12	-	0.215342	-	"0.0407522 unit decrease"	[0.029-0.052]	CELSR2	"Cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23580)"	"cholesterol to total lipids in chylomicrons and extremely large VLDL percentage "	-	GCST90269677	1:109275216	36764567	"Davyson E"
rs668948-G	5E-22	-	0.179767	-	"0.0596676 unit decrease"	[0.048-0.072]	TDRD15,APOB	"Cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23580)"	"cholesterol to total lipids in chylomicrons and extremely large VLDL percentage "	-	GCST90269677	2:21068657	36764567	"Davyson E"
rs146534110-T	6E-13	-	0.0134888	-	"0.148371 unit increase"	[0.11-0.19]	SLC22A1	"Cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23580)"	"cholesterol to total lipids in chylomicrons and extremely large VLDL percentage "	-	GCST90269677	6:160157037	36764567	"Davyson E"
rs117733303-G	1E-80	-	0.0178411	-	"0.341533 unit increase"	[0.31-0.38]	LPAL2	"Cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23580)"	"cholesterol to total lipids in chylomicrons and extremely large VLDL percentage "	-	GCST90269677	6:160501838	36764567	"Davyson E"
rs118039278-A	1E-200	-	0.078451	-	"0.276321 unit increase"	[0.26-0.29]	LPA	"Cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23580)"	"cholesterol to total lipids in chylomicrons and extremely large VLDL percentage "	-	GCST90269677	6:160564494	36764567	"Davyson E"
rs73596816-A	9E-26	-	0.0331501	-	"0.13941 unit increase"	[0.11-0.17]	LPA	"Cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23580)"	"cholesterol to total lipids in chylomicrons and extremely large VLDL percentage "	-	GCST90269677	6:160596331	36764567	"Davyson E"
rs115478735-T	2E-19	-	0.183899	-	"0.0555015 unit increase"	[0.043-0.068]	ABO	"Cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23580)"	"cholesterol to total lipids in chylomicrons and extremely large VLDL percentage "	-	GCST90269677	9:133274295	36764567	"Davyson E"
rs1532085-A	8E-91	-	0.384943	-	"0.0984173 unit increase"	[0.089-0.108]	ALDH1A2	"Cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23580)"	"cholesterol to total lipids in chylomicrons and extremely large VLDL percentage "	-	GCST90269677	15:58391167	36764567	"Davyson E"
rs1077835-G	2E-82	-	0.218626	-	"0.110598 unit increase"	[0.099-0.122]	ALDH1A2,LIPC	"Cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23580)"	"cholesterol to total lipids in chylomicrons and extremely large VLDL percentage "	-	GCST90269677	15:58431227	36764567	"Davyson E"
rs821840-G	2E-64	-	0.324538	-	"0.0858703 unit decrease"	[0.076-0.096]	HERPUD1,CETP	"Cholesterol to total lipids in chylomicrons and extremely large VLDL percentage (UKB data field 23580)"	"cholesterol to total lipids in chylomicrons and extremely large VLDL percentage "	-	GCST90269677	16:56959974	36764567	"Davyson E"
